year,date,section_id,text,fallacy,subcategory,speaker,complete_date,filename,component_id,component_span,component_text
1980,21Sep,4,"It seems to totally belie the claim that I heard President Carter make a few days ago, that he was the first President that had come forth with a real urban strategy to meet the problems of urban America.",Ad Hominem,Ad Hominem,ANDERSON,21 9 1980,8_1980,T195,29912 30115,"It seems to totally belie the claim that I heard President Carter make a few days ago, that he was the first President that had come forth with a real urban strategy to meet the problems of urban America"
1996,06Oct,5,It seems to me that you have a selective memory.,Ad Hominem,Ad Hominem,DOLE,6 10 1996,22_1996,T296,24650 24677,you have a selective memory
2016,09Oct,2,Bernie Sanders said that Hillary Clinton has very bad judgment.,Ad Hominem,Ad Hominem,TRUMP,9 10 2016,42_2016,T223,30726 30788,Bernie Sanders said that Hillary Clinton has very bad judgment
1976,23Sep,2,Mr. Ford is - is uh changing uh considerably his previous philosophy.,Ad Hominem,Ad Hominem,CARTER,23 9 1976,5_1976,T202,12130 12198,Mr. Ford is - is uh changing uh considerably his previous philosophy
2008,15Oct,3,"one of the greatest frauds in voter history in this country, maybe destroying the fabric of democracy",Ad Hominem,Ad Hominem,MCCAIN,15 10 2008,36_2008,T309,34933 35080,"who is now on the verge of maybe perpetrating one of the greatest frauds in voter history in this country, maybe destroying the fabric of democracy"
2016,19Oct,7,Donald thinks belittling women makes him bigger .,Ad Hominem,Ad Hominem,TRUMP,19 10 2016,43_2016,,,
2000,03Oct,2,It's a scaring -- he's trying to scare people in the voting booth.,Ad Hominem,Ad Hominem,BUSH,3 10 2000,25_2000,T347,15823 15870,he's trying to scare people in the voting booth
2004,30Sep,3,I think what is misleading is to say you can lead and succeed in Iraq if you keep changing your positions on this war. And he has.,Ad Hominem,Ad Hominem,BUSH,30 9 2004,29_2004,T477,37846 37963,I think what is misleading is to say you can lead and succeed in Iraq if you keep changing your positions on this war
1976,22Oct,6,"Senator Mondale made a very derogatory, very personal comment about General Brown uh - after the news story that uh - broke about General Brown.",Ad Hominem,Ad Hominem,FORD,22 10 1976,7_1976,T486,27131 27328,"I was uh - very, very surprised when I read that uh - Senator Mondale made a very derogatory, very personal comment about General Brown uh - after the news story that uh - broke about General Brown"
1976,06Oct,7,Governor Carter apparently doesn't know the facts.,Ad Hominem,Ad Hominem,FORD,6 10 1976,6_1976,T501,40224 40273,Governor Carter apparently doesn't know the facts
2004,05Oct,2,"The problem we have is that, if you look at his record, he doesn't display the qualities of somebody who has conviction.",Ad Hominem,Ad Hominem,CHENEY,5 10 2004,30_2004,T445,23300 23390,"if you look at his record, he doesn't display the qualities of somebody who has conviction"
2004,05Oct,1,"Your rhetoric, Senator, would be a lot more credible if there was a record to back it up. There isn't.",Ad Hominem,Ad Hominem,CHENEY,5 10 2004,30_2004,T186,21440 21528,"Your rhetoric, Senator, would be a lot more credible if there was a record to back it up"
1992,13Oct,1,Bill Clinton does not have the strength nor the character to be president of the US.,Ad Hominem,Ad Hominem,QUAYLE,13 10 1992,18_1992,T24,3927 4010,Bill Clinton does not have the strength nor the character to be president of the US
2000,03Oct,10,"For those of you who he wants to scare into the voting booth to vote for him, hear me loud and clear.",Ad Hominem,Ad Hominem,BUSH,3 10 2000,25_2000,T154,74359 74459,"For those of you who he wants to scare into the voting booth to vote for him, hear me loud and clear"
1992,13Oct,4,Bill Clinton has trouble telling the truth.,Ad Hominem,Ad Hominem,QUAYLE,13 10 1992,18_1992,T319,33813 33855,Bill Clinton has trouble telling the truth
1992,13Oct,4,"And he will have a very difficult time dealing with somebody like President Yeltsin or Chancellor Kohl or Prime Minister Major or President Mitterrand, because truth and integrity are prerequisites to being president of the US.",Ad Hominem,Ad Hominem,QUAYLE,13 10 1992,18_1992,T320,33861 34007,he will have a very difficult time dealing with somebody like President Yeltsin or Chancellor Kohl or Prime Minister Major or President Mitterrand
2020,22Oct,1,He has the ability to lock himself up.,Ad Hominem,Ad Hominem,TRUMP,22 10 2020,45_2020,,,
2020,22Oct,1,he has this thing about living in a basement.,Ad Hominem,Ad Hominem,TRUMP,22 10 2020,45_2020,,,
2020,22Oct,1,you’re the one that takes the money from Wall Street,Ad Hominem,Ad Hominem,TRUMP,22 10 2020,45_2020,,,
2020,22Oct,2,while he was selling pillows and sheets,Ad Hominem,Ad Hominem,TRUMP,22 10 2020,45_2020,,,
2020,22Oct,2,100% dishonest,Ad Hominem,Ad Hominem,,22 10 2020,45_2020,T88,35555 35577,That's 100% dishonest.
2020,22Oct,4,you did a poor job,Ad Hominem,Ad Hominem,TRUMP,22 10 2020,45_2020,T249,77531 77549,you did a poor job
2020,22Oct,4,This guy has a dog whistle about as big as a fog horn,Ad Hominem,Ad Hominem,,22 10 2020,45_2020,,,
2020,22Oct,4,you’re all talk and no action,Ad Hominem,Ad Hominem,,22 10 2020,45_2020,,,
2020,22Oct,5,I’m not sure he knows what it represents or means,Ad Hominem,Ad Hominem,TRUMP,22 10 2020,45_2020,T334,38111 38118,I'm not
2020,22Oct,5,he’s flat lying,Ad Hominem,Ad Hominem,,22 10 2020,45_2020,,,
2020,29Sep,1,he doesn’t know how to do that,Ad Hominem,Ad Hominem,,29 9 2020,46_2020,T306,41920 41930,he doesn't
2020,29Sep,1,this man doesn’t know what he’s talking about.,Ad Hominem,Ad Hominem,,29 9 2020,46_2020,,,
2020,29Sep,2,You should get out of your bunker and get out of the sand trap in your golf course,Ad Hominem,Ad Hominem,BIDEN,29 9 2020,46_2020,T97,21416 21449,You should get out of your bunker
2020,29Sep,2,You don’t have it in your blood,Ad Hominem,Ad Hominem,TRUMP,29 9 2020,46_2020,T344,17140 17146,You do
2020,29Sep,2,You graduated either the lowest or almost the lowest in your class.,Ad Hominem,Ad Hominem,TRUMP,29 9 2020,46_2020,,,
2020,29Sep,2,There’s nothing smart about you,Ad Hominem,Ad Hominem,TRUMP,29 9 2020,46_2020,,,
2020,29Sep,5,You can’t even say the word law enforcement.,Ad Hominem,Ad Hominem,TRUMP,29 9 2020,46_2020,,,
2020,29Sep,5,He wouldn’t know a suburb unless you took a wrong turn.,Ad Hominem,Ad Hominem,BIDEN,29 9 2020,46_2020,T338,68810 68865,He wouldn't know a suburb unless you took a wrong turn.
2020,29Sep,6,He has no idea what he’s talking about,Ad Hominem,Ad Hominem,BIDEN,29 9 2020,46_2020,,,
2020,7Oct,1,"plagiarism, which is something Joe Biden knows a little bit about.",Ad Hominem,Ad Hominem,PENCE,7 10 2020,44_2020,,,
2020,29Sep,1,"you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military",Ad Hominem,Appeal to hypocrisy,TRUMP,29 9 2020,46_2020,T26,8044 8084,"you've had 308,000 military people dying"
1992,15Oct,7,If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races,Ad Hominem,Circumstantial Ad Hominem,CLINTON,15 10 1992,21_1992,T743,2289 2556,"If you did that you could take away the incumbents' advantage because challengers like me would have a chance to run against incumbents like him for House races and Senate races, and then the voters could make up their own mind without being subject to an unfair figh"
1980,28Oct,6,He wants to put all our eggs in one basket and give that basket to the major oil companies.,Ad Hominem,Circumstantial Ad Hominem,CARTER,28 10 1980,9_1980,T380,58826 58916,He wants to put all our eggs in one basket and give that basket to the major oil companies
2016,19Oct,2,"And, you know, look, I understand that Donald's been strongly supported by the NRA .  The gun lobby's on his side .  They're running millions of dollars of ads against me .",Ad Hominem,Circumstantial Ad Hominem,WALLACE,19 10 2016,43_2016,T15,3422 3465,Donald's been strongly supported by the NRA
1984,07Oct,6,"Well, the other day, Vice President Bush disclosed his tax returns to the American people. He's one of the wealthiest Americans, and he's our Vice President. In 1981 I think he paid about 40 percent in taxes. In 1983, as a result of these tax preferences, he paid a little over 12 percent, 12.8 percent in taxes. That meant that he paid a lower percent in taxes than the janitor who cleaned up his office or the chauffeur who drives him to work.",Ad Hominem,Circumstantial Ad Hominem,MONDALE,7 10 1984,10_1984,T404,52941 52991,In 1981 I think he paid about 40 percent in taxes.
1988,25Sep,6,"You know, the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute.",Ad Hominem,Circumstantial Ad Hominem,DUKAKIS,25 9 1988,13_1988,T722,39582 39902,"the vice president says he wants to impose the death penalty on drug traffickers, and yet his administration has a federal furlough program which is one of the most permissive in the country, which gave last year 7,000 furloughs to drug traffickers and drug pushers, the same people that he says he now wants to execute."
2016,26Sep,1,"You know, Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there. I don't buy that.",Ad Hominem,Circumstantial Ad Hominem,CLINTON,26 9 2016,41_2016,T75,7790 7806,I don’t buy that
2016,26Sep,1,"Donald was very fortunate in his life, and that's all to his benefit. He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.I don't buy that.",Ad Hominem,Circumstantial Ad Hominem,CLINTON,26 9 2016,41_2016,T75,7790 7806,I don’t buy that
2016,26Sep,1,"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we've created a movement. They should have been doing this for years.",Ad Hominem,Circumstantial Ad Hominem,TRUMP,26 9 2016,41_2016,T105,10226 10372,"Secretary Clinton and others, politicians, should have been doing this for years, not right now, because of the fact that we’ve created a movement"
2016,26Sep,1,"He started his business with $14 million, borrowed from his father, and he really believes that the more you help wealthy people, the better off we'll be and that everything will work out from there.I",Ad Hominem,Circumstantial Ad Hominem,CLINTON,26 9 2016,41_2016,T80,7662 7788,"he really believes that the more you help wealthy people, the better off we’ll be and that everything will work out from there"
2016,26Sep,1,"storm.In fact, Donald was one of the people who rooted for the housing crisis.",Ad Hominem,Circumstantial Ad Hominem,CLINTON,26 9 2016,41_2016,T123,11971 12033,Donald was one of the people who rooted for the housing crisis
2004,13Oct,10,"The president has denied 9. 2 million women $3,800 a year, but he doesn't hesitate to fight for $136,000 to a millionaire.",Ad Hominem,Circumstantial Ad Hominem,KERRY,13 10 2004,32_2004,T60,54024 54081,"The president has denied 9. 2 million women $3,800 a year"
2004,30Sep,2,"As well, help is on the way, but it's certainly hard to tell it when he voted against the $87-billion supplemental to provide equipment for our troops, and then said he actually did vote for it before he voted against it.",Ad Hominem,Circumstantial Ad Hominem,BUSH,30 9 2004,29_2004,T309,25512 25629,it's certainly hard to tell it when he voted against the $87-billion supplemental to provide equipment for our troops
1996,06Oct,9,"He talks about a smaller government. There are actually more people in government except for people in defense related jobs. They're gone. The government's bigger than it was when President Kennedy was around, even though he says it's not.",Ad Hominem,Circumstantial Ad Hominem,DOLE,6 10 1996,22_1996,T1101,88230 88265,He talks about a smaller government
2016,09Oct,3,"And indeed, you can look at the propaganda on a lot of the terrorist sites, and what Donald Trump says about Muslims is used to recruit fighters, because they want to create a war between us.And",Ad Hominem,Circumstantial Ad Hominem,CLINTON,9 10 2016,42_2016,T347,39885 40064,"you can look at the propaganda on a lot of the terrorist sites, and what Donald Trump says about Muslims is used to recruit fighters, because they want to create a war between us."
2016,09Oct,3,"She’s got bad judgment, and honestly, so bad that she should never be president of the United States.",Ad Hominem,Circumstantial Ad Hominem,TRUMP,9 10 2016,42_2016,T364,42032 42132,"She's got bad judgment, and honestly, so bad that she should never be president of the United States"
2008,15Oct,4,"Now, Joe, you're rich, congratulations, and you will then fall into the category where you'll have to pay a fine if you don't provide health insurance that Senator Obama mandates, not the kind that you think is best for your family, your children, your employees, but the kind that he mandates for you.",Ad Hominem,Circumstantial Ad Hominem,MCCAIN,15 10 2008,36_2008,T565,61473 61730,"you will then fall into the category where you'll have to pay a fine if you don't provide health insurance that Senator Obama mandates, not the kind that you think is best for your family, your children, your employees, but the kind that he mandates for you"
2000,03Oct,8,The big drug companies support Governor Bush's prescription drug proposal.,Ad Hominem,Circumstantial Ad Hominem,GORE,3 10 2000,25_2000,T870,63406 63479,The big drug companies support Governor Bush's prescription drug proposal
2000,03Oct,8,They oppose mine because they don't want to get Medicare involved because they're afraid that Medicare will negotiate lower prices for seniors who currently pay the highest prices of all.,Ad Hominem,Circumstantial Ad Hominem,GORE,3 10 2000,25_2000,T871,63481 63497,They oppose mine
1988,25Sep,1,"I guess the question I would ask of Mr. Bush is how we instill those values, how we create this environment for the drug free schools that we want in this country. If he or representatives of the administration are either with or involving people like Noriega in our foreign policy, or don't pursue that connection in a way that makes it possible for us to cut it off and to be an example to our kids all over the country.",Ad Hominem,Circumstantial Ad Hominem,DUKAKIS,25 9 1988,13_1988,T56,8671 8698,how we instill those values
1980,28Oct,2,"Mr. Carter had also promised that he would not use unemployment as a tool to fight against inflation. And yet, his 1980 economic message stated that we would reduce productivity and gross national product and increase unemployment in order to get a handle on inflation, because in January, at the beginning of the year, it was more than 18%.",Ad Hominem,Circumstantial Ad Hominem,REAGAN,28 10 1980,9_1980,T128,17811 17911,Mr. Carter had also promised that he would not use unemployment as a tool to fight against inflation
1960,13Oct,9,"Mr. Nixon misstates my figures constantly, which uh - is of course his right, but the fact of the matter is: here is where I stand and I just want to have it on the public record.",Ad Hominem,Circumstantial Ad Hominem,KENNEDY,13 10 1960,3_1960,T478,38051 38092,Mr. Nixon misstates my figures constantly
2016,09Oct,5,She never changed. And she never will change. She never will change.We,Ad Hominem,Circumstantial Ad Hominem,TRUMP,9 10 2016,42_2016,T458,48431 48449,She never changed.
2004,05Oct,8,"When the vice president was CEO of Halliburton, they took advantage of every offshore loophole available.",Ad Hominem,Circumstantial Ad Hominem,EDWARDS,5 10 2004,30_2004,T919,70888 70992,"When the vice president was CEO of Halliburton, they took advantage of every offshore loophole available"
2004,13Oct,4,My opponent talks about fiscal sanity. His record in the United States Senate does not match his rhetoric.  He voted to increase taxes 98 times and to bust the budget 277 times.,Ad Hominem,Circumstantial Ad Hominem,BUSH,13 10 2004,32_2004,T435,13206 13241,He voted to increase taxes 98 times
2004,13Oct,5,The president has never said whether or not he would do that. But we know from the people he's tried to appoint to the court he wants to.,Ad Hominem,Circumstantial Ad Hominem,KERRY,13 10 2004,32_2004,T618,26907 26967,The president has never said whether or not he would do that
2000,11Oct,7,"First of all, let me say he's not for a government-run health care system? I thought that's exactly what he and Mrs. Clinton and them fought for in 1993 was a government-run health care system.",Ad Hominem,Circumstantial Ad Hominem,BUSH,11 10 2000,27_2000,T734,62358 62465,that's exactly what he and Mrs. Clinton and them fought for in 1993 was a government-run health care system
2016,19Oct,4,"And Donald knows a lot about this .  He used undocumented labor to build the Trump Tower .  He underpaid undocumented workers, and when they complained, he basically said what a lot of employers do: ""You complain, I'll get you deported . """,Ad Hominem,Circumstantial Ad Hominem,TRUMP,19 10 2016,43_2016,T75,10174 10203,Donald knows a lot about this
1996,06Oct,5,I strongly supported it. And members of Senator Dole's own party in the Senate killed it. And he was not out there urging them to vote for the McCain-Feingold bill.,Ad Hominem,Circumstantial Ad Hominem,CLINTON,6 10 1996,22_1996,T305,25558 25581,I strongly supported it
2004,05Oct,11,They were with the drug companies.,Ad Hominem,Circumstantial Ad Hominem,EDWARDS,5 10 2004,30_2004,T392,94484 94517,They were with the drug companies
2004,05Oct,11,They're with the insurance companies.,Ad Hominem,Circumstantial Ad Hominem,EDWARDS,5 10 2004,30_2004,T393,94917 94953,They're with the insurance companies
2004,13Oct,8,He forgot to tell you he voted to tax Social Security benefits more than one time. I didn't hear any plan to fix Social Security.,Ad Hominem,Circumstantial Ad Hominem,BUSH,13 10 2004,32_2004,T832,46316 46397,He forgot to tell you he voted to tax Social Security benefits more than one time
1960,13Oct,4,"Mr. Nixon would add a guarantee to islands five miles off the coast of the re- Republic of China when he's never really protested the Communists seizing Cuba, ninety miles off the coast of the United States.",Ad Hominem,Circumstantial Ad Hominem,KENNEDY,13 10 1960,3_1960,T309,19346 19552,"Mr. Nixon would add a guarantee to islands five miles off the coast of the re- Republic of China when he's never really protested the Communists seizing Cuba, ninety miles off the coast of the United States"
2004,30Sep,1,"First of all, he made the misjudgment of saying to America that he was going to build a true alliance, that he would exhaust the remedies of the United Nations and go through the inspections.  In fact, he first didn't even want to do that.",Ad Hominem,Circumstantial Ad Hominem,KERRY,30 9 2004,29_2004,T93,8520 8696,"he made the misjudgment of saying to America that he was going to build a true alliance, that he would exhaust the remedies of the United Nations and go through the inspections"
2004,30Sep,1,The president just talked about Iraq as a center of the war on terror. Iraq was not even close to the center of the war on terror before the president invaded it.,Ad Hominem,Circumstantial Ad Hominem,KERRY,30 9 2004,29_2004,T160,14136 14226,Iraq was not even close to the center of the war on terror before the president invaded it
1976,06Oct,2,"Obviously, this is another indication of trying to use the defense budget for political purposes, which he's trying to do tonight.",Ad Hominem,Circumstantial Ad Hominem,CARTER,6 10 1976,6_1976,T255,11061 11146,this is another indication of trying to use the defense budget for political purposes
1984,07Oct,9,"America is a fair society, and it is not right that Vice President Bush pays less in taxes than the janitor who helps him.",Ad Hominem,Circumstantial Ad Hominem,MONDALE,7 10 1984,10_1984,T649,84011 84036,America is a fair society
2016,19Oct,7,I believe it was her campaign that did it .,Ad Hominem,Circumstantial Ad Hominem,TRUMP,19 10 2016,43_2016,T241,24640 24681,I believe it was her campaign that did it
2004,30Sep,3,"As the politics change, his positions change.",Ad Hominem,Circumstantial Ad Hominem,BUSH,30 9 2004,29_2004,T478,37977 38021,"As the politics change, his positions change"
2004,05Oct,2,"This is relevant, because he was pushing for lifting sanctions when he was CEO of Halliburton.",Ad Hominem,Circumstantial Ad Hominem,EDWARDS,5 10 2004,30_2004,T580,40166 40233,he was pushing for lifting sanctions when he was CEO of Halliburton
2004,05Oct,2,"While he was CEO of Halliburton, they paid millions of dollars in fines for providing false information on their company, just like Enron and Ken Lay.",Ad Hominem,Circumstantial Ad Hominem,EDWARDS,5 10 2004,30_2004,T588,40305 40425,"While he was CEO of Halliburton, they paid millions of dollars in fines for providing false information on their company"
1996,06Oct,3,"Stop scaring the seniors, Mr. President. You've already spent $45 million scaring seniors and tearing me apart. I think it's time to have a truce.",Ad Hominem,Circumstantial Ad Hominem,DOLE,6 10 1996,22_1996,T179,14481 14514,I think it's time to have a truce
1996,06Oct,7,"So Congress passes the law, the President signs it, like he does a lot of things. But he, like welfare reform, I'm going to sign it but I'm going to try to change it next year.",Ad Hominem,Circumstantial Ad Hominem,DOLE,6 10 1996,22_1996,T553,44359 44448,"he, like welfare reform, I'm going to sign it but I'm going to try to change it next year"
1996,06Oct,7,"Senator Dole remembers well that we actually offered not to even put in a healthcare bill in 1994, uh '93, but instead to work with the Senate Republicans and write a joint bill. And they said no because they got a memo from one of their political advisers saying that instead they should characterize whatever we did as big government and make sure nothing was done to aid healthcare before the '94 elections so they could make that claim.",Ad Hominem,Circumstantial Ad Hominem,CLINTON,6 10 1996,22_1996,T586,47487 47631,"we actually offered not to even put in a healthcare bill in 1994, uh '93, but instead to work with the Senate Republicans and write a joint bill"
