file,T_id,role
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/21_1992/T356_argument.csv,T356,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/21_1992/T413_argument.csv,T413,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/21_1992/T263_argument.csv,T262,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/21_1992/T314_argument.csv,T314,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/24_1996/T723_argument.csv,T723,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/25_2000/T330_argument.csv,T330,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/26_2000/T504_argument.csv,T504,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/26_2000/T403_argument.csv,T403,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/27_2000/T810_argument.csv,T810,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/27_2000/T783_argument.csv,T783,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/27_2000/T530_argument.csv,T530,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T856_argument.csv,T856,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T838_argument.csv,T838,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T357_argument.csv,T357,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T351_argument.csv,T351,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T234_argument.csv,T234,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T168_argument.csv,T168,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T214_argument.csv,T214,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T484_argument.csv,T484,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T597_argument.csv,T597,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/28_2000/T591_argument.csv,T591,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/29_2004/T434_argument.csv,T431,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/29_2004/T273_argument.csv,T273,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/29_2004/T83_argument.csv,T83,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/2_1960/T95_argument.csv,T95,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/2_1960/T93_argument.csv,T101,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/2_1960/T99_argument.csv,T99,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/2_1960/T98_argument.csv,T98,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/2_1960/T100_argument.csv,T100,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/2_1960/T96_argument.csv,T96,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/30_2004/T597_argument.csv,T608,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/31_2004/T1102_argument.csv,T1102,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/31_2004/T634_argument.csv,T634,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/31_2004/T1026_argument.csv,T1026,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/31_2004/T130_argument.csv,T182,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/33_2008/T245_argument.csv,T330,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/35_2008/T105_argument.csv,T105,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/36_2008/T298_argument.csv,T298,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/37_2012/T338_argument.csv,T338,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/37_2012/T802_argument.csv,T874,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/37_2012/T79_argument.csv,T79,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/37_2012/T220_argument.csv,T220,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/37_2012/T882_argument.csv,T882,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T548_argument.csv,T548,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T581_argument.csv,T581,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T945_argument.csv,T945,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T760_argument.csv,T760,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T393_argument.csv,T393,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T445_argument.csv,T445,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T186_argument.csv,T186,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T186_argument.csv,T187,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T504_argument.csv,T504,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T818_argument.csv,T818,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T577_argument.csv,T577,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/38_2012/T171_argument.csv,T171,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/39_2012/T904_argument.csv,T904,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/39_2012/T378_argument.csv,T378,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/39_2012/T494_argument.csv,T494,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/39_2012/T374_argument.csv,T374,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/39_2012/T21_argument.csv,T21,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/39_2012/T985_argument.csv,T985,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/39_2012/T729_argument.csv,T729,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/39_2012/T682_argument.csv,T682,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/3_1960/T249_argument.csv,T249,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/40_2012/T916_argument.csv,T916,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/40_2012/T917_argument.csv,T917,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/40_2012/T102_argument.csv,T102,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/40_2012/T362_argument.csv,T362,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/40_2012/T868_argument.csv,T919,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/40_2012/T822_argument.csv,T822,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/40_2012/T615_argument.csv,T640,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/40_2012/T853_argument.csv,T853,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T675_argument.csv,T675,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T620_argument.csv,T620,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T698_argument.csv,T879,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T175_argument.csv,T175,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T132_argument.csv,T231,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T616_argument.csv,T677,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T1016_argument.csv,T1016,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T278_argument.csv,T278,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T86_argument.csv,T86,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T661_argument.csv,T661,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T93_argument.csv,T237,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T642_argument.csv,T678,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T243_argument.csv,T243,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T186_argument.csv,T186,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T256_argument.csv,T256,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T979_argument.csv,T979,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T809_argument.csv,T894,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T139_argument.csv,T139,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T50_argument.csv,T227,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T50_argument.csv,T228,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T345_argument.csv,T345,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T679_argument.csv,T679,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T878_argument.csv,T878,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T426_argument.csv,T426,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T220_argument.csv,T220,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T880_argument.csv,T880,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T273_argument.csv,T434,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T881_argument.csv,T700,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T221_argument.csv,T221,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T893_argument.csv,T893,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T893_argument.csv,T895,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T234_argument.csv,T234,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T388_argument.csv,T388,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T365_argument.csv,T431,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T247_argument.csv,T247,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T446_argument.csv,T446,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T240_argument.csv,T240,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T668_argument.csv,T668,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T470_argument.csv,T470,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T884_argument.csv,T884,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T353_argument.csv,T430,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T353_argument.csv,T438,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T500_argument.csv,T500,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T30_argument.csv,T32,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T62_argument.csv,T62,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T313_argument.csv,T313,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T896_argument.csv,T896,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T462_argument.csv,T462,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T246_argument.csv,T246,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T196_argument.csv,T196,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T868_argument.csv,T868,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T897_argument.csv,T897,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T230_argument.csv,T230,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T270_argument.csv,T420,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T882_argument.csv,T882,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T885_argument.csv,T885,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T663_argument.csv,T663,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T484_argument.csv,T484,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T429_argument.csv,T429,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T888_argument.csv,T776,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T877_argument.csv,T877,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T877_argument.csv,T876,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T285_argument.csv,T424,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T100_argument.csv,T237,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T136_argument.csv,T238,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T806_argument.csv,T892,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T964_argument.csv,T964,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/41_2016/T141_argument.csv,T141,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T478_argument.csv,T478,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T508_argument.csv,T508,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T745_argument.csv,T745,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T175_argument.csv,T175,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T120_argument.csv,T120,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T409_argument.csv,T449,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T135_argument.csv,T135,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T308_argument.csv,T308,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T493_argument.csv,T493,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T150_argument.csv,T150,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T150_argument.csv,T151,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T798_argument.csv,T798,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T121_argument.csv,T121,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T399_argument.csv,T399,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T572_argument.csv,T634,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T374_argument.csv,T376,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T421_argument.csv,T421,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T272_argument.csv,T272,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T74_argument.csv,T74,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T639_argument.csv,T639,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T403_argument.csv,T403,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T808_argument.csv,T805,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T327_argument.csv,T327,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T404_argument.csv,T404,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T739_argument.csv,T738,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T599_argument.csv,T599,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T779_argument.csv,T779,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T638_argument.csv,T638,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T695_argument.csv,T695,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T498_argument.csv,T497,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T67_argument.csv,T67,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T109_argument.csv,T109,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T388_argument.csv,T388,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T182_argument.csv,T182,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T70_argument.csv,T69,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T306_argument.csv,T306,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T271_argument.csv,T271,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T159_argument.csv,T160,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T462_argument.csv,T462,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T797_argument.csv,T797,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T371_argument.csv,T371,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T546_argument.csv,T546,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T506_argument.csv,T506,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T746_argument.csv,T746,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T483_argument.csv,T483,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T623_argument.csv,T623,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T730_argument.csv,T730,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T528_argument.csv,T528,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T788_argument.csv,T788,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T391_argument.csv,T389,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T68_argument.csv,T68,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T154_argument.csv,T153,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T141_argument.csv,T145,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T740_argument.csv,T740,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/42_2016/T328_argument.csv,T328,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/43_2016/T349_argument.csv,T349,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/43_2016/T103_argument.csv,T104,Premise
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/43_2016/T286_argument.csv,T286,Claim
/Users/fbrunello/Desktop/ElecDeb60to20/data/annotations/arguments/43_2016/T280_argument.csv,T280,Claim
